id,market,area,issue,detail,severity,source,owner,status,note
US-01,US,Website/Shopify,"Consolidate dual Shopify themes (t/37 → t/46) so meta, schema & OG unify site-wide",Root cause of ~6 other issues,P0,US #1,Vijaykumar,in progress,Parent of several PDP/SEO fixes
US-02,US,SEO,Add JSON-LD Product/Offer schema to flagship PDP,113K impr @1.19% CTR; schema can lift CTR 20–40%,P1,US #1,Vijaykumar,in progress,
US-03,US,SEO,Landing page: Best Gravity Water Filter System (head term),'gravity water filter' stuck pos 11.4,P2,US #1,Vijaykumar,in progress,
US-04,US,Content/Blog,Add mid-article CTA cards to top 10 blog posts,Top blogs earn $0 — no inline CTAs,P2,US #1,Vijaykumar,in progress,Slipped once → 15-Jun · Blocker: Agency capacity · Revised due 2026-06-15
US-05,US,PDP/UX,Reorder PDP 'How It Works' steps; remove duplicate Step 2,Wrong order damaged credibility,P1,US #1,Vijaykumar,fixed,Verified live
US-06,US,CRO,Sticky mobile Add-to-Cart bar on PDP,Highest-ROI mobile fix; was 'ignore',P1,US #1,Vijaykumar,open,Recovered from 'ignore' list · Blocker: De-prioritised earlier
US-07,US,CRO,One-Time / Subscribe & Save 5% toggle on PDP,Subscription hidden = lost recurring rev,P2,US #1,Vijaykumar,in progress,
US-08,US,CRO,Exit-intent email capture with zip-contaminant hook,94% don't convert first visit; no capture,P1,US #1,Vijaykumar,open,Blocker: Awaiting offer/copy approval · Waiting for input
US-09,US,Legal/Compliance,Add US business address to site footer (all pages),Trust + marketplace compliance risk,P1,US #1,Vijaykumar,open,Compliance · Blocked: Awaiting address from Finance
US-10,US,Website/Shopify,Footnote/asterisk on 99.99% contaminant claims (PDP),Unqualified claims = FTC/legal exposure,P0,US #1,Vijaykumar,in progress,High legal priority
US-11,US,Customer Support,Reply to public teak-stand staining review,Unanswered negative review deters buyers,P2,US #1,Vijaykumar,fixed,Closed 1 day late
US-12,US,Website/Shopify,Fix cloned '705 reviews' count on accessory cards,Cloned counts erode trust,P2,US #1,Vijaykumar,fixed,
US-13,US,Google Ads,Reallocate Google Ads to PMax winners; cap losing terms,Wasted spend on non-converting terms,P2,US #1,Vijaykumar,in progress,
US-14,US,Meta Ads,Launch 3 UGC creatives; pause 2 fatigued ads,Creative fatigue dragging ROAS,P2,US #1,Vijaykumar,in progress,
